"","intervention","stone_free_status_pre","qol_change","qol_sd","qol_se","qol_change_ci_lower","qol_change_ci_upper"
"1","Colic","less4",0.28,0.00781024967590669,0.00450924975282292,0.271161870484467,0.288838129515533
"2","Colic","more4",0.0528461538461538,0.165208880993046,0.0458206993524965,-0.0369624168847393,0.142654724577047
"3","Colic","SF",0.02,0.108292384681535,0.0323225472910515,-0.0433521926904609,0.0833521926904609
"4","ESWL","less4",0.138,0.108292384681535,0.0323225472910515,0.0746478073095392,0.201352192690461
"5","ESWL","more4",0.0542708333333333,0.106105876385552,0.0153150640734499,0.0242533077493715,0.0842883589172952
"6","ESWL","SF",0.02,0.108292384681535,0.0323225472910515,-0.0433521926904609,0.0833521926904609
"7","URS","less4",0.05,0.108292384681535,0.0323225472910515,-0.0133521926904609,0.113352192690461
"8","URS","more4",0.0553103448275862,0.151222660681024,0.0280813431151964,0.00027091232180125,0.110349777333371
"9","URS","SF",0.02,0.108292384681535,0.0323225472910515,-0.0433521926904609,0.0833521926904609
"10","PCNL","less4",0.05,0.108292384681535,0.0323225472910515,-0.0133521926904609,0.113352192690461
"11","PCNL","more4",0.00242857142857141,0.112482379572472,0.0425143433179333,-0.0808995414745779,0.0857566843317207
"12","PCNL","SF",0,0.108292384681535,0.0323225472910515,-0.0633521926904609,0.0633521926904609
