"","age_bin","stone_free_status","total_mean","total_sd","total_se","total_ci_lower","total_ci_upper"
"1","Aged 5 to 9","SF",22.0233199734764,NA,NA,NA,NA
"2","Aged 5 to 9","less4",20.3026918778033,NA,NA,NA,NA
"3","Aged 5 to 9","more4",31.0964835533814,NA,NA,NA,NA
"4","Aged 10-14","SF",37.2569514371384,NA,NA,NA,NA
"5","Aged 10-14","less4",15,NA,NA,NA,NA
"6","Aged 10-14","more4",26.5139217117647,NA,NA,NA,NA
"7","Aged 15-19","SF",25.0162329711982,NA,NA,NA,NA
"8","Aged 15-19","less4",17.679647264783,NA,NA,NA,NA
"9","Aged 15-19","more4",27.5,0.707106781186548,0.5,26.52,28.48
"10","Aged 20-24","SF",27,NA,NA,NA,NA
"11","Aged 20-24","less4",35,NA,NA,NA,NA
"12","Aged 20-24","more4",37.1818181818182,10.6660037672802,3.21592113714416,30.8786127530156,43.4850236106207
"13","Aged 25-29","SF",26,NA,NA,NA,NA
"14","Aged 25-29","less4",22.5,6.36396103067893,4.5,13.68,31.32
"15","Aged 25-29","more4",29.7835852709378,7.36272055368358,2.32829667249761,25.2201237928425,34.3470467490331
"16","Aged 30-34","SF",31.6,7.12741187248218,3.18747549010185,25.3525480394004,37.8474519605996
"17","Aged 30-34","less4",33.7086027916016,NA,NA,NA,NA
"18","Aged 30-34","more4",33.65,9.69685244646019,2.16828212380701,29.4001670373383,37.8998329626617
"19","Aged 35-39","SF",30.943266174019,4.80566409696783,2.14915831957004,26.7309158676618,35.1556164803763
"20","Aged 35-39","less4",32,14.525839046334,8.38649708360608,15.5624657161321,48.4375342838679
"21","Aged 35-39","more4",34.5333333333333,11.4696286318425,2.96144537855398,28.7289003913675,40.3377662752991
"22","Aged 40-44","SF",30,12.6491106406735,5.65685424949238,18.9125656709949,41.0874343290051
"23","Aged 40-44","less4",37.7205900925671,NA,NA,NA,NA
"24","Aged 40-44","more4",30.5882352941176,9.09710684455099,2.20637249456548,26.2637452047693,34.912725383466
"25","Aged 45-49","SF",27,11.2398102000582,4.24824893898875,18.673432079582,35.326567920418
"26","Aged 45-49","less4",35.2425878859401,NA,NA,NA,NA
"27","Aged 45-49","more4",32.35,10.0277247248763,2.24226741444787,27.9551558676822,36.7448441323178
"28","Aged 50-54","SF",22,12.8507920823137,4.54344111251121,13.094855419478,30.905144580522
"29","Aged 50-54","less4",40.3944606503467,NA,NA,NA,NA
"30","Aged 50-54","more4",32.5625,8.7937003966855,2.19842509917137,28.2535868056241,36.8714131943759
"31","Aged 55-59","SF",26.6,8.96102672688794,4.00749298190278,18.7453137554706,34.4546862445294
"32","Aged 55-59","less4",33,5.65685424949238,4,25.16,40.84
"33","Aged 55-59","more4",32,12.0219098228806,2.68818075833335,26.7311657136666,37.2688342863334
"34","Aged 60-64","SF",19.2142857142857,5.3519021985512,1.43035602817863,16.4107878990556,22.0177835295158
"35","Aged 60-64","less4",26,7.07106781186548,5,16.2,35.8
"36","Aged 60-64","more4",26.5675675675676,10.1202232642822,1.66375445595211,23.3066088339014,29.8285263012337
"37","Aged 65-69","SF",17.3333333333333,0.577350269189626,0.333333333333333,16.68,17.9866666666667
"38","Aged 65-69","less4",16,14.7309198626562,8.50490054811538,-0.669605074306148,32.6696050743061
"39","Aged 65-69","more4",26.6428571428571,9.89644180701127,2.64493532785587,21.4587839002596,31.8269303854546
"40","Aged 70-74","SF",16.5,1.29099444873581,0.645497224367903,15.2348254402389,17.7651745597611
"41","Aged 70-74","less4",15.4987217155992,NA,NA,NA,NA
"42","Aged 70-74","more4",27.625,9.52102935611481,2.3802573390287,22.9596956155037,32.2903043844963
"43","Aged 75-79","SF",22.4009059141322,10.6900291394465,5.34501456972323,11.9246773574747,32.8771344707897
"44","Aged 75-79","less4",30.5,20.5060966544099,14.5,2.08000000000001,58.92
"45","Aged 75-79","more4",26.5,7.66930126010068,2.21393657350773,22.1606843159248,30.8393156840752
"46","Aged 80-84","SF",25.6666666666667,2.3094010767585,1.33333333333333,23.0533333333333,28.28
"47","Aged 80-84","less4",32.4797869907521,NA,NA,NA,NA
"48","Aged 80-84","more4",27.5454545454545,7.7764212381228,2.34467922350948,22.949883267376,32.1410258235331
"49","Aged 85-89","SF",25,NA,NA,NA,NA
"50","Aged 85-89","less4",29.3198381939341,NA,NA,NA,NA
"51","Aged 85-89","more4",22,8.57321409974112,3.83405790253616,14.4852465110291,29.5147534889709
"52","Aged 90 and over","SF",24.4319095129171,NA,NA,NA,NA
"53","Aged 90 and over","less4",39.9080851285939,NA,NA,NA,NA
"54","Aged 90 and over","more4",20.5972015139292,NA,NA,NA,NA
